Zona,Región,Categoría,Nombre,Ubicación / Detalle / Acción
Necrolimbo (Limgrave) y Península del Llanto,Tutorial,Gesto,¡El Círculo!,Bonificación de reserva o vencer a un jefe como fantasma cooperativo.
Necrolimbo (Limgrave) y Península del Llanto,Tutorial,Multijugador,Dedo reseco de Sinluz,Capilla de la Espera.
Necrolimbo (Limgrave) y Península del Llanto,Tutorial,Jefe,Vástago Injertado,"Capilla de la Espera. Si ganas (difícil), suelta Espada recta ornamental y Escudo de bestia dorada."
Necrolimbo (Limgrave) y Península del Llanto,Tutorial,Lugar,Cueva del Conocimiento,Zona tutorial tras morir. Obtienes Viales Carmesí y Cerúleo.
Necrolimbo (Limgrave) y Península del Llanto,Tutorial,Jefe,Soldado de Godrick,Jefe del tutorial.
Necrolimbo (Limgrave) y Península del Llanto,Tutorial,Gesto,¡Fuerza!,En el acantilado al final de la zona tutorial.
Necrolimbo (Limgrave) y Península del Llanto,Tutorial,Lugar,Cementerio de los Náufragos,Lugar de Gracia (Site of Grace - SoG).
Necrolimbo (Limgrave) y Península del Llanto,Tutorial,Multijugador,Cortador de dedos,Justo después del Lugar de Gracia.
Necrolimbo (Limgrave) y Península del Llanto,Tutorial,Multijugador,Dedo doblado de Sinluz,Justo después del Lugar de Gracia.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Lugar,El primer paso,Lugar de Gracia al salir al mundo abierto.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,NPC,Varré,"Habla con él en ""El primer paso"". Agota el diálogo."
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Multijugador,Efigie dorada pequeña,Bajando la cuesta desde Varré.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Lugar,Iglesia de Elleh,"Norte de ""El primer paso""."
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,NPC,Kalé,"Comerciante. Agota diálogo (""Sobre Kalé""). Compra el Kit de creación."
